objectid,title,creator,author,date,display_date,description,subject,location,latitude,longitude,source,youtubeid,type,format,filename,filename
maria_ultima,"María: naturaleza, estructura y legado (Última parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2018-08,agosto de 2018,"Última entrega del ciclo dedicado a *María*. Se abordan elementos estéticos como el uso de la naturaleza, el flashback, la caracterización de personajes y el lenguaje poético. Rafael Ayala destaca la vigencia emocional y política de esta novela romántica.",Jorge Isaacs; Naturaleza; Flashback; Tragedia romántica; Narración literaria; Estructura narrativa; Costumbrismo; Amor imposible; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/SsMjNYDx994",SsMjNYDx994,MovingImage,video/mp4,maria_ultima.mp4,maria_ultima.mp4
mayo68_primera,"Mayo del 68: juventud, rebeldía y utopía (Primera parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2019-05,mayo de 2019,"Análisis histórico y cultural del Mayo del 68. Rafael Ayala contextualiza los movimientos estudiantiles, los cambios sociales, el papel de la universidad, y los eventos clave como la Primavera de Praga, el Cordobazo y la matanza de Tlatelolco.",Mayo del 68; Estudiantes; Utopía; Contracultura; Derechos civiles; Historia contemporánea; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/xYbpSc34_jI",xYbpSc34_jI,MovingImage,video/mp4,mayo68_primera.mp4,mayo68_primera.mp4
mayo68_segunda,"Mayo del 68: contracultura, arte y política (Segunda parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2019-05,mayo de 2019,"Segunda entrega sobre el Mayo del 68. Se abordan la contracultura, los grafitis, el movimiento hippie, el feminismo, la revolución sexual, y el arte como forma de protesta. Ayala relaciona estos procesos con América Latina, Paulo Freire y la pedagogía del amor.",Mayo del 68; Contracultura; Feminismo; Arte; Pedagogía crítica; Paulo Freire; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/tHCcTzIBp1c",tHCcTzIBp1c,MovingImage,video/mp4,mayo68_segunda.mp4,mayo68_segunda.mp4
primeroscuentos_GGM_primera,García Márquez: Los primeros cuentos y el mito personal (Primera parte),LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2023-09,septiembre de 2023,"Primera parte del homenaje radial a Gabriel García Márquez. Rafael Ayala comparte anécdotas personales con el Nobel, analiza su cuento ""La tercera resignación"", y destaca su vínculo con el Instituto Caro y Cuervo. Reflexiona sobre el cuento como género y su valor en la formación literaria.",Gabriel García Márquez; Cuento; Literatura latinoamericana; Nobel; Caro y Cuervo; Crítica literaria; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/hZeq47iyRCk",hZeq47iyRCk,MovingImage,video/mp4,primeroscuentos_GGM_primera.mp4,primeroscuentos_GGM_primera.mp4
primeroscuentos_GGM_segunda,"García Márquez: Sueños, espejos y el arte de narrar (Segunda parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2023-09,septiembre de 2023,"Segunda parte del especial radial sobre los cuentos de García Márquez. Rafael Ayala analiza textos como ""Ojos de perro azul"", ""Eva dentro de su gato"" y ""El diálogo del espejo"", resaltando sus temas de soledad, reencarnación y autorreflexión. Se explora el vínculo entre literatura y vida en la obra del Nobel colombiano.",Gabriel García Márquez; Cuento; Realismo mágico; Soledad; Espejos; Lenguaje interior; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/1GhUZ0VHILw",1GhUZ0VHILw,MovingImage,video/mp4,primeroscuentos_GGM_segunda.mp4,primeroscuentos_GGM_segunda.mp4
posthumanismo,¿Por qué apostarle al humanismo?,LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2019-11,noviembre de 2019,"Reflexión sobre la vigencia del humanismo en la educación superior. Rafael Ayala analiza el pensamiento de Hannah Arendt, la condición humana, el papel de las humanidades, la comunicación, la solidaridad y la pedagogía crítica en tiempos de deshumanización.",Humanismo; Educación; Hannah Arendt; Comunicación social; Derechos humanos; Filosofía; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/psX2Ffw8fcQ",psX2Ffw8fcQ,MovingImage,video/mp4,posthumanismo.mp4,posthumanismo.mp4
juanrulfo_primera,"Juan Rulfo: llano, sombra y silencio",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2017-01,enero de 2017,"Programa radial sobre Juan Rulfo y su universo literario. Rafael Ayala analiza cuentos como “Nos han dado la tierra”, “Es que somos muy pobres”, “Talpa” y “No oyes ladrar los perros”, y destaca el valor de la oralidad, la tragedia campesina, la violencia estructural y el simbolismo rural.",Juan Rulfo; El llano en llamas; Pedro Páramo; Reforma agraria; Literatura mexicana; Oralidad; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/J9x2-tZXj2k",J9x2-tZXj2k,MovingImage,video/mp4,juanrulfo_primera.mp4,juanrulfo_primera.mp4
hipertexto_1,Hipertexto 1- Muestra Fotográfica Filminuto. Un Entorno Por Conocer.,Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,CDO3Aqsy9TY,MovingImage,video/mp4,hipertexto_1.mp4,hipertexto_1.mp4
hipertexto_2,"Hipertexto 2 - Muestra Fotográfica Filminuto. ¿Y Tú, A Quién Adoras?",Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,O_O51AXCnxU,MovingImage,video/mp4,hipertexto_2.mp4,hipertexto_2.mp4
hipertexto_3,Hipertexto 3- Muestra Fotográfica Filminuto. La Gota En El Espejo... Tu Rostro.,Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,VuP5j7DHGOg,MovingImage,video/mp4,hipertexto_3.mp4,hipertexto_3.mp4
hipertexto_4,"Hipertexto 4- Muestra Fotográfica Filminuto. Viva La Vía, Sea Prudente.",Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,fi2gEnluCXw,MovingImage,video/mp4,hipertexto_4.mp4,hipertexto_4.mp4
hipertexto_5,Hipertexto 5 - Muestra Fotográfica Filminuto,Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,D50ccAKkZy8,MovingImage,video/mp4,hipertexto_5.mp4,hipertexto_5.mp4
hipertexto_6,Hipertexto 6 - Muestra Fotográfica Filminuto. En Busca De La Presencia Por Andrés Upegui Herrera,Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,cOL9cgpa1VY,MovingImage,video/mp4,hipertexto_6.mp4,hipertexto_6.mp4
hipertexto_7,Hipertexto 7 - Muestra Fotográfica Filminuto,Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,VqPSFXGZ628,MovingImage,video/mp4,hipertexto_7.mp4,hipertexto_7.mp4
hipertexto_8,Hipertexto 8 - Muestra Fotográfica Filminuto. Clasificación De Los Animales.,Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,dL4AEVCV7Io,MovingImage,video/mp4,hipertexto_8.mp4,hipertexto_8.mp4
hipertexto_9,Hipertexto 9 - Muestra Fotográfica Filminuto,Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,UlD18dfyh5c,MovingImage,video/mp4,hipertexto_9.mp4,hipertexto_9.mp4
hipertexto_10,Hipertexto 10 - Muestra Fotográfica Filminuto,Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,cnMNMjx5JCM,MovingImage,video/mp4,hipertexto_10.mp4,hipertexto_10.mp4
hipertexto_11,Hipertexto 11- Muestra Fotográfica Filminuto,Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,e8kkHiBs5RM,MovingImage,video/mp4,hipertexto_11.mp4,hipertexto_11.mp4
hipertexto_12,Hipertexto 12 - Muestra Fotográfica Filminuto. Play Station 2,Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,ujTRQ7CHRJs,MovingImage,video/mp4,hipertexto_12.mp4,hipertexto_12.mp4
hipertexto_13,Hipertexto 13 - Muestra Fotográfica Filminuto.,Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,zmFqR7DrhXU,MovingImage,video/mp4,hipertexto_13.mp4,hipertexto_13.mp4
hipertexto_14,Hipertexto 14 - Muestra Fotográfica Filminuto. Quién Pena Por Tu Condena Por Leidy Alejandra Peñaloza Roa,Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,xeRNyUx6XwY,MovingImage,video/mp4,hipertexto_14.mp4,hipertexto_14.mp4
hipertexto_15,Hipertexto 15 - Muestra Fotográfica Filminuto. Cuerpo,Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,qVvma4DKKi0,MovingImage,video/mp4,hipertexto_15.mp4,hipertexto_15.mp4
hipertexto_16,Hipertexto 16 - Muestra Fotográfica Filminuto.,Fundación Universitaria Los Libertadores,Estudiantes de tercer semestre para la catedra de semiología dictada por Rafael Ayala Sáenz en la Fundación Universitaria Libertadores,2009-11,noviembre de 2009,Video de memorias fotográficas en blanco y negro realizado por estudiantes de tercer semestre como parte del curso de semiótica y semiología dictado por Rafael Ayala Sáenz en la Fundación Universidad Libertadores.,Memorias fotográficas; Muestra fotográfica; Rafael Ayala Sáenz; Catedra de semiología; Fundación Universitaria los Libertadores; Muestra fotográfica en blanco y negro; Filminuto,"Bogotá, Colombia","47,125,798","-740,850,452",Fundación Universitaria Los Libertadores,jIDwciTgwtg,MovingImage,video/mp4,hipertexto_16.mp4,hipertexto_16.mp4
